SD,SGG,Last Name,Population
서울특별시,성동구,상(尙),24
서울특별시,성동구,서(徐),4365
서울특별시,성동구,서문(西門),5
서울특별시,성동구,석(昔),53
서울특별시,성동구,석(石),227
서울특별시,성동구,선(宣),203
서울특별시,성동구,선우(鮮于),22
서울특별시,성동구,설(?),28
서울특별시,성동구,설(薛),196
서울특별시,성동구,성(成),1169
서울특별시,성동구,소(蘇),299
서울특별시,성동구,소(邵),17
서울특별시,성동구,손(孫),2309
서울특별시,성동구,송(宋),3939
서울특별시,성동구,승(承),15
서울특별시,성동구,시(施),6
서울특별시,성동구,시(柴),17
서울특별시,성동구,신(愼),321
서울특별시,성동구,신(申),4618
서울특별시,성동구,신(辛),961
서울특별시,성동구,심(沈),1600
서울특별시,성동구,안(安),4124
서울특별시,성동구,양(梁),2707
서울특별시,성동구,양(楊),476
서울특별시,성동구,어(魚),144
서울특별시,성동구,엄(嚴),764
서울특별시,성동구,여(余),75
서울특별시,성동구,여(呂),269
서울특별시,성동구,연(延),209
서울특별시,성동구,염(廉),449
서울특별시,성동구,예(芮),69
서울특별시,성동구,오(吳),4499
서울특별시,성동구,옥(玉),121
서울특별시,성동구,온(溫),39
서울특별시,성동구,왕(王),184
서울특별시,성동구,용(龍),99
서울특별시,성동구,우(禹),1043
서울특별시,성동구,원(元),794
서울특별시,성동구,위(魏),210
서울특별시,성동구,유(兪),977
서울특별시,성동구,유(劉),1692
서울특별시,성동구,유(庾),70
서울특별시,성동구,유(柳),3251
서울특별시,성동구,육(陸),103
서울특별시,성동구,윤(尹),6084
서울특별시,성동구,은(殷),138
서울특별시,성동구,음(陰),24
서울특별시,성동구,이(李),42916
서울특별시,성동구,인(印),135
서울특별시,성동구,임(任),1283
서울특별시,성동구,임(林),4915
서울특별시,성동구,장(張),5772
서울특별시,성동구,장(章),41
서울특별시,성동구,장(蔣),88
서울특별시,성동구,전(全),3201
서울특별시,성동구,전(田),1000
서울특별시,성동구,전(錢),22
서울특별시,성동구,정(丁),1516
서울특별시,성동구,정(程),67
서울특별시,성동구,정(鄭),11898
서울특별시,성동구,제(諸),90
서울특별시,성동구,제갈(諸葛),17
서울특별시,성동구,조(曺),2245
서울특별시,성동구,조(趙),6131
서울특별시,성동구,좌(左),12
서울특별시,성동구,주(周),207
서울특별시,성동구,주(朱),1322
서울특별시,성동구,지(智),27
서울특별시,성동구,지(池),952
서울특별시,성동구,진(晋),51
서울특별시,성동구,진(秦),100
서울특별시,성동구,진(陣),10
서울특별시,성동구,진(陳),862
서울특별시,성동구,차(車),1109
서울특별시,성동구,채(蔡),773
서울특별시,성동구,천(千),583
서울특별시,성동구,최(催),34
서울특별시,성동구,최(崔),13490
서울특별시,성동구,추(秋),260
서울특별시,성동구,탁(卓),135
서울특별시,성동구,태(太),34
서울특별시,성동구,팽(彭),8
서울특별시,성동구,편(片),84
서울특별시,성동구,표(表),212
서울특별시,성동구,피(皮),34
서울특별시,성동구,하(夏),12
서울특별시,성동구,하(河),1167
서울특별시,성동구,한(韓),4648
서울특별시,성동구,함(咸),469
서울특별시,성동구,허(許),1684
서울특별시,성동구,현(玄),501
서울특별시,성동구,형(邢),61
서울특별시,성동구,호(扈),19
서울특별시,성동구,호(胡),14
서울특별시,성동구,홍(洪),3508
서울특별시,성동구,황(黃),3737
서울특별시,성동구,황보(皇甫),32
서울특별시,광진구,가(賈),43
서울특별시,광진구,간(簡),12
서울특별시,광진구,갈(葛),12
서울특별시,광진구,감(甘),31
서울특별시,광진구,강(姜),7906
서울특별시,광진구,강(康),581
서울특별시,광진구,견(甄),5
서울특별시,광진구,경(慶),89
서울특별시,광진구,경(景),42
서울특별시,광진구,계(桂),54
서울특별시,광진구,고(高),3291
서울특별시,광진구,공(孔),556
서울특별시,광진구,곽(郭),1421
서울특별시,광진구,구(丘),91
서울특별시,광진구,구(具),1189
서울특별시,광진구,국(鞠),145
서울특별시,광진구,권(權),4868
서울특별시,광진구,금(琴),207
서울특별시,광진구,기(奇),249
서울특별시,광진구,기타,1363
서울특별시,광진구,길(吉),294
서울특별시,광진구,김(金),74601
서울특별시,광진구,나(羅),1339
서울특별시,광진구,남(南),1926
서울특별시,광진구,남궁(南宮),182
서울특별시,광진구,노(盧),1781
서울특별시,광진구,노(魯),449
서울특별시,광진구,단(段),11
서울특별시,광진구,당(唐),0
서울특별시,광진구,도(都),317
서울특별시,광진구,도(陶),0
서울특별시,광진구,동(董),50
서울특별시,광진구,두(杜),46
서울특별시,광진구,라(羅),179
서울특별시,광진구,류(柳),1151
서울특별시,광진구,마(馬),302
서울특별시,광진구,맹(孟),182
서울특별시,광진구,명(明),230
서울특별시,광진구,모(牟),191
서울특별시,광진구,목(睦),76
서울특별시,광진구,문(文),3231
서울특별시,광진구,민(閔),1368
서울특별시,광진구,박(朴),29236
서울특별시,광진구,반(潘),197
서울특별시,광진구,방(房),276
서울특별시,광진구,방(方),673
서울특별시,광진구,배(裵),2391
서울특별시,광진구,백(白),2521
서울특별시,광진구,범(范),25
서울특별시,광진구,변(卞),457
서울특별시,광진구,변(邊),500
서울특별시,광진구,복(卜),72
서울특별시,광진구,봉(奉),111
서울특별시,광진구,부(夫),55
서울특별시,광진구,빈(賓),30
서울특별시,광진구,사(史),69
서울특별시,광진구,사공(司空),27
서울특별시,광진구,상(尙),16
서울특별시,광진구,서(徐),5072
서울특별시,광진구,서문(西門),22
서울특별시,광진구,석(昔),62
서울특별시,광진구,석(石),314
서울특별시,광진구,선(宣),331
서울특별시,광진구,선우(鮮于),27
서울특별시,광진구,설(?),61
서울특별시,광진구,설(薛),291
서울특별시,광진구,성(成),1388
서울특별시,광진구,소(蘇),472
서울특별시,광진구,소(邵),19
서울특별시,광진구,손(孫),2974
서울특별시,광진구,송(宋),4830
서울특별시,광진구,승(承),21
서울특별시,광진구,시(施),10
서울특별시,광진구,시(柴),12
서울특별시,광진구,신(愼),367
서울특별시,광진구,신(申),5870
서울특별시,광진구,신(辛),1330
서울특별시,광진구,심(沈),1819
서울특별시,광진구,안(安),4971
서울특별시,광진구,양(梁),3357
서울특별시,광진구,양(楊),498
서울특별시,광진구,어(魚),145
서울특별시,광진구,엄(嚴),1028
서울특별시,광진구,여(余),114
서울특별시,광진구,여(呂),437
서울특별시,광진구,연(延),277
서울특별시,광진구,염(廉),518
서울특별시,광진구,예(芮),47
서울특별시,광진구,오(吳),5373
서울특별시,광진구,옥(玉),113
서울특별시,광진구,온(溫),55
서울특별시,광진구,왕(王),226
서울특별시,광진구,용(龍),128
서울특별시,광진구,우(禹),1302
서울특별시,광진구,원(元),995
서울특별시,광진구,위(魏),253
서울특별시,광진구,유(兪),1130
서울특별시,광진구,유(劉),2026
서울특별시,광진구,유(庾),119
서울특별시,광진구,유(柳),3921
서울특별시,광진구,육(陸),151
서울특별시,광진구,윤(尹),7284
서울특별시,광진구,은(殷),122
서울특별시,광진구,음(陰),35
서울특별시,광진구,이(李),52252
서울특별시,광진구,인(印),181
서울특별시,광진구,임(任),1444
서울특별시,광진구,임(林),5983
서울특별시,광진구,장(張),7096
서울특별시,광진구,장(章),30
서울특별시,광진구,장(蔣),112
서울특별시,광진구,전(全),4050
서울특별시,광진구,전(田),1258
서울특별시,광진구,전(錢),37
서울특별시,광진구,정(丁),1906
서울특별시,광진구,정(程),85
서울특별시,광진구,정(鄭),14607
서울특별시,광진구,제(諸),90
서울특별시,광진구,제갈(諸葛),26
서울특별시,광진구,조(曺),2607
서울특별시,광진구,조(趙),7914
서울특별시,광진구,좌(左),9
서울특별시,광진구,주(周),250
서울특별시,광진구,주(朱),1460
서울특별시,광진구,지(智),37
서울특별시,광진구,지(池),1232
서울특별시,광진구,진(晋),62
서울특별시,광진구,진(秦),111
서울특별시,광진구,진(陣),7
서울특별시,광진구,진(陳),1065
서울특별시,광진구,차(車),1192
서울특별시,광진구,채(蔡),1004
서울특별시,광진구,천(千),772
서울특별시,광진구,최(催),22
서울특별시,광진구,최(崔),16769
서울특별시,광진구,추(秋),324
서울특별시,광진구,탁(卓),142
서울특별시,광진구,태(太),55
서울특별시,광진구,팽(彭),6
서울특별시,광진구,편(片),110
서울특별시,광진구,표(表),242
서울특별시,광진구,피(皮),36
서울특별시,광진구,하(夏),26
서울특별시,광진구,하(河),1414
서울특별시,광진구,한(韓),5750
서울특별시,광진구,함(咸),668
서울특별시,광진구,허(許),2091
서울특별시,광진구,현(玄),572
서울특별시,광진구,형(邢),63
서울특별시,광진구,호(扈),31
서울특별시,광진구,호(胡),8
서울특별시,광진구,홍(洪),4217
서울특별시,광진구,황(黃),4873
서울특별시,광진구,황보(皇甫),61
서울특별시,동대문구,가(賈),51
서울특별시,동대문구,간(簡),26
서울특별시,동대문구,갈(葛),20
서울특별시,동대문구,감(甘),23
서울특별시,동대문구,강(姜),7672
서울특별시,동대문구,강(康),618
서울특별시,동대문구,견(甄),5
서울특별시,동대문구,경(慶),110
서울특별시,동대문구,경(景),32
서울특별시,동대문구,계(桂),54
서울특별시,동대문구,고(高),3235
서울특별시,동대문구,공(孔),551
서울특별시,동대문구,곽(郭),1320
서울특별시,동대문구,구(丘),115
서울특별시,동대문구,구(具),1204
서울특별시,동대문구,국(鞠),160
서울특별시,동대문구,권(權),5021
서울특별시,동대문구,금(琴),164
서울특별시,동대문구,기(奇),244
서울특별시,동대문구,기타,1108
서울특별시,동대문구,길(吉),251
서울특별시,동대문구,김(金),74886
서울특별시,동대문구,나(羅),1247
서울특별시,동대문구,남(南),1769
서울특별시,동대문구,남궁(南宮),177
서울특별시,동대문구,노(盧),1864
서울특별시,동대문구,노(魯),565
서울특별시,동대문구,단(段),12
서울특별시,동대문구,당(唐),0
서울특별시,동대문구,도(都),350
서울특별시,동대문구,도(陶),0
서울특별시,동대문구,동(董),58
서울특별시,동대문구,두(杜),45
서울특별시,동대문구,라(羅),238
서울특별시,동대문구,류(柳),990
서울특별시,동대문구,마(馬),256
서울특별시,동대문구,맹(孟),205
서울특별시,동대문구,명(明),195
서울특별시,동대문구,모(牟),155
서울특별시,동대문구,목(睦),57
서울특별시,동대문구,문(文),3227
서울특별시,동대문구,민(閔),1253
서울특별시,동대문구,박(朴),29202
서울특별시,동대문구,반(潘),215
서울특별시,동대문구,방(房),226
서울특별시,동대문구,방(方),648
서울특별시,동대문구,배(裵),2384
서울특별시,동대문구,백(白),2393
서울특별시,동대문구,범(范),36
